总部基地写字楼	南四环西路188号
星宇大厦写字楼	石园北区85号楼
创意北京	四季青桥往西约1500米路北
北京银利娜物业管理中心	彰化路北侧，银利娜物业院内
东亚·奥北中心写字楼	立水桥城铁站旁，地铁13号线和5号线交
茂华大厦	阜石路与杨庄东路交叉口东南角，石景
锦绣园写字楼	福一村小太平庄28号
太阳星城写字楼	朝阳区三元桥东北角
机工大厦	百万庄路22号
水恋晶城写字楼	通州区通胡大街11号
茗筑大厦写字楼	马连道13号
富临中心写字楼	望京广顺北大街33号
海赋国际写字楼	车公庄20号
巷上写字楼	中轴路与北二环交界钟楼北桥东北角
国典大厦	安定路12号
金鼎大厦	金融街A区3号地南部
国基创新园	庞各庄顺景路
明天STUDIO写字楼	立水桥
今尊大厦	杨庄村杨庄危改小区8号楼
道乐蒙恩商务街写字楼	莲花池西路，万寿路口南1200米
万特国际珠宝交易中心	新街口北大街57号
融信国际	金融大街东侧，北临西兴盛街
菲特空间写字楼	广外南街51号
富力·爱丁堡广场	东三环长虹桥西南侧，白家庄1号
融祥华门中心	平安里西大街与赵登禹路交汇处西北角
光大国际中心	平安里西大街28号，地处阜成门北大街
现代企业加速器	永捷北路3号
中成集团大厦	西滨河路9号
中经物业写字楼	平安大街张自忠路地铁口A口旁
德胜苑商务会馆	德胜门东滨河路11号
居安文艺会馆	新街口南大街百花深处16号
佳中物业写字楼	东城区小街桥
大名都写字楼	西直门南小街
利华写字楼	黄寺大街21号
西苑饭店	海淀区三里河路1号
新兆写字楼	和平里中街25号
先锋商务写字楼	赵登禹路277号
澳原写字楼	百万庄北街甲6号
昊龙写字楼	东城区和平里中街
华云酒店写字楼	西城区展览路12号
嘉年华大厦	西绒线胡同乙9号
惠亚大厦	北三环东路12号
汇凯商苑	宣武门西大街127号
天岳恒大厦	西城区新德街甲20
中俊酒店写字楼	北京市西城区展览路
国旅发展大厦	德胜门外东滨河路11号
东颐商务会馆	北三环东路西坝河西里23号
长城办公楼	车公庄大街北里甲1号
庆丰大厦	旧鼓楼大街小石桥胡同
鼎鑫潮写字楼	滨江紧邻一桥，闻涛路与西环路交汇处
爱地大厦	和平里东街1号
圣象大厦	东城区和平里北街5号
金瑞商务大厦	海淀区牡丹园北里
中兴家业商务中心	东城区安定门内大街
巨星大厦	复兴路乙59号2
东方红叶商务写字楼	北洼路12号
长信大厦	延静里中街3号
贝斯坎普写字楼	花园路68号
金桥写字楼	海淀区皂君庙
金商誉写字楼	海淀区阜成路111号
应物会议中心	北京市海淀区花园路6号
北京海科商务中心	三四环间神路街西侧
华鹏大厦	东三环北路19号
商之苑大厦	东四十条王家园10号
资源宾馆写字楼	颐和园路1号
广澳中心	朝阳区关东店2号
旭海大厦	海淀路86号
云建大厦	增光路甘家口
知音商务写字楼	知春路22号
四通大厦	海淀大街2号，紧邻白颐路
鑫一德创业大厦	清河西街71号
新世纪饭店写字楼	海淀区首都体育馆南路6号
CBD边缘办公楼	金台里甲19号
仁和大厦	海淀区五路居
世纪豪景写字楼	知春路108号
智业大厦	北太平庄北月秀园1号楼旁
太平洋科技发展中心	海淀路52号
金都公寓写字楼	芳庄城园一区3号楼
国安大厦写字楼	朝阳区东大桥
雅园公寓	团结湖农展馆南路
天联写字楼	西四块玉胡同57号
南新园中路商务楼	朝阳区南新园中路
北京居安办公中心	朝阳区百子湾路18号
光华饭店	朝阳区东三环北路38号
保罗大厦	朝阳门外大街38号
东三环能新公寓	团结湖农展馆南
天河商务会馆	朝阳区八里庄东里1号
中国文联宾馆写字楼	东三环长虹桥东北角
光华园大厦	国贸中心东侧
北人泽洋大厦	东三环南路４８号
惠宸商务中心	建国门外大街
东方伟业	白家庄路东侧
白家庄写字楼	白家庄路3号
协成商务会馆	北京市朝阳区大望路
盛德亚写字楼	朝阳路英家坟6号
德纳国际广场	朝阳区百子湾路
东鑫大厦	滨江紧邻一桥，闻涛路与西环路交汇处
玉蜓园酒店(龙潭公寓)	北京市东城区长青园7号B
华宇大厦	龙潭路甲3号
德惠写字楼	幸福大街中路
企业家会馆	东城区天坛东门
天元宫写字楼	永定门外三元西巷甲12号
建华大厦	京津塘高速公路大羊坊出口向东200米
赛特大厦	建外大街22号
瑞得大厦	中国科技馆西
化信大厦	安定路33号
中国人寿大厦	朝阳区朝阳门外大街16号
卫星大厦	知春路甲63号
京蒙高科大厦	北京市海淀区上地东路5-2号
仰源大厦	花园路30号院花园公寓B座
扑满山写字楼	宋家庄路71号院
联合国际大厦	东三环南路39号
人寿大厦	朝外大街16号
用友软件园	北清路与永丰路
天建大厦	惠新南里6号院
马哥孛罗大厦	安立路80号
长保大厦	广渠门内大街安化北里一号
保利大厦	平安大街与东二环路交汇处
创富大厦	丹棱街18号
文化大厦	中关村大街59号
维亚大厦	苏州街29号 
紫金大厦	万泉河路68号
天洋运河壹号	高碑店乡
新东安广场	王府井大街138号
国瑞城写字楼	崇文门外大街新世界商场对面
联邦国际商务中心	北京市经济技术开发区地盛中路5号
天莲大厦写字楼	莲花池东路会城门桥路南
京城大厦	新源南路6号
青清写字楼	海淀区远大路39号
西单国际大厦	西单北大街西侧西西工程3号地
设计大厦	朝阳区惠新东街8号
卷石天地大厦	望京桥东北角
北奥大厦	惠新东街甲2号
企发大厦	胜古中路2号院8号楼
亚胜铂第	南三环方庄桥东南角
国际港写字楼	朝阳区三元桥国际港
中轻大厦	朝阳区望京中关村科技园区内
燕莎CLASS写字楼	新源里新东路14号
首享科技大厦	学院路51号
国旅王府大厦	东单北大街1号
华天大厦	莲花池东路5号
中国昊华写字楼	北四环小营路惠新东桥往北200米
神州科技园写字楼	西三旗桥东100米
领地OFFICE写字楼	朝阳区北苑路13号院
建国五号写字楼	建国门北大街5号
创辉国际中心	苏州桥西北角
电子城科技园写字楼	酒仙桥东路9号院
辉煌时代大厦	中关村西区7号地，北四环南侧
凯旋大厦	西直门外大街和三里河路交汇处
智慧大厦写字楼	学院南路38号
智地·钻河公馆写字楼	西直门立交桥西北角
恋日国际写字楼	东三环南路2号
长安驿写字楼	建华南路永安南里
卓明大厦	朝阳区建国门外建华南路6号
亚泰中心	宣武门外平源里21号
迪阳大厦	三元桥东北角
幸福大厦	东三环北路3号
荣京丽都写字楼	荣京东街3号
凯旋广场	亚运村北辰购物中心向东600米
量子银座大厦	海淀区知春路23号
金泽大厦	广宁伯街2号
紫玉写字楼	西三环花园桥
青云当代科技大厦	北三环西路43号，双安商场斜对面
兆维大厦	酒仙桥路14号
京师科技大厦	北京市朝阳区慧忠北里105号
奥加国际写字楼	朝阳区东直门外大街26号奥加国际公寓
奇迹财富大厦	朝阳区安定门外安苑里一号
颐堤港	将台路以南与酒仙桥路以东之间
方正国际大厦	海淀区北四环西路52号
安全大厦写字楼	北苑路32号院
凯德华玺写字楼	朝阳门内大街228号
中科基业广场	环三环家具城红博馆旁
正仁大厦	崇文门外大街
京师大厦	新街口外大街19号
中冀大厦写字楼	亦庄开发区荣华南路
卓著中心	北京市西城区武定侯街6号
国海广场写字楼	复兴路17号
景龙·国际	亚运村北苑桥西北角
鹏安世纪大厦	海淀区远大路20号
银海大厦	中关村南大街10号
北京国际俱乐部	朝阳区建外大街21号
启明国际大厦	望京北路联想大厦边上
国润大厦	阜外大街4号
海运仓国际大厦	海运仓胡同1号
南航明珠大厦	东三环国贸桥东南角
德胜国际中心	德外大街西侧，德胜门城楼西北500米
电信实业大厦	北京市海淀区复兴路65号
LOFTEL写字楼	湖光中街1号
大地科技大厦	北四环西路67号大地科技大厦
长城电脑大厦	海淀区学院路甲38号
华夏科技大厦	上地西路中关村软件园
首开幸福广场写字楼	东直门外新东路西侧
搜狐网络大厦	海淀清华科技园第二期成府路与清华南
中关村科技发展大厦	中关村南大街32号
中环广场	北京市西城区枣林前街70号
华丽大厦	金宝街56号
上海中心	朝阳区东三环亮马桥路
京门大厦	羊坊店路9号
广源大厦	紫竹院立交桥东北角
远中悦莱写字楼	海淀中街15号
北京现代柏利大厦	东三环南路大路园20号
海通时代广场	西三环北路11号
北京银行大厦	金融大街丙17号
中国人保财险大厦	建国门外大街2号，东三环国贸桥西南角
欧陆大厦写字楼	亚运村炎黄博物馆正东500米路口
北发大厦	学院南路15号
玉泉大厦	玉泉路西100米路北
天行建国际大厦	公主坟翠微大厦西100米
众运大厦	望京利泽中街二区208号
海育大厦	复兴路21号公主坟立交桥东北角
清河商务楼	海淀上清桥西南角
东外公馆写字楼	新中街乙12号
学研大厦	海淀区双清路
希格玛大厦	知春路49号 
平安大厦	复兴门金融大街23号
汇园国际公寓写字楼	四环以外亚运村
枫桦豪景写字楼	广安门内大街10号，宣武门外大街西80
北京21世纪大厦	北京朝阳区亮马桥路甲40号
陶然居写字楼	菜市口南大街西侧
东方郁金香写字楼	立水桥站东南角
自在香山写字楼	旱河路与闵庄路交叉口西北角，四季青
机械大厦	广安门外大街248号
光大国信大厦	中关村南大街11号
日坛国际贸易中心	北京市朝阳区日坛北路17号院1号楼
中国国际会展中心	马甸立交桥东北
阳光广场写字楼	安立路68号亚运村
平安发展大厦	东四十条68号
瀚海文化大厦	北京市朝阳区向军北里28号院
北京空港明豪商务大厦	天竺镇府前1街13号
三空间写字楼	亚运村北小营中路
紫竹大厦	红联南村44号
天龙华鹤大厦写字楼	南四环西路内环，怡海花园西侧
天创·盛方中心写字楼	南三环东路23号，刘家窑桥东
新洲商务大厦	恩济庄,阜成路南侧
兆维华灯大厦	酒仙桥路14号
豪成大厦写字楼	朝阳区左家庄中街6号院
玲珑天地写字楼	海淀区西四环北路160号
航空服务大厦	东直门立交桥东北角
世宁大厦	海淀区学院路35号
上地创业大厦	北京信息路26号
深房大厦	安华桥中国科技馆东800米
旭捷大厦	东三环劲松桥东600米
月新大厦	西城区月坛南街14号
北大科技园创新中心写字楼	中关村北大街
万柳新贵大厦	万泉庄路28号
百环商务楼	东三环双井桥东南侧
国宾大厦	阜成门外大街11号
百花苑商务大厦	中关村南大街11号
天玉大厦	光明路13号
甜水园商务中心	金台路甜水园东街2号
丰台独楼	科技园区航丰路4号
煤炭大厦	和平街十三区35号楼
建达大厦	和平里东土城路
国瑞大厦	崇外大街
智恒大厦	北京西城区西二环莲花池东路转口
数字物流港	中关村18号
海淀科技大厦	北京市海淀区中关村南大街3号
中国第一商城写字楼	朝阳门外小庄6号
和泰大厦	关庄小营北路北侧
芳群公寓写字楼	南三环东路27号院
日月天地写字楼	方城园一区17号楼
汇佳大厦	东三环三元桥亮马桥附近
琥珀天地写字楼	八达岭高速回龙观B出口东500米
瀚海科技大厦	北京东城区朝阳门内大街甲298号
启明星辰大厦	海淀区东北旺西路8号中关村软件园21号
星科大厦	北京市朝阳区酒仙桥中路
新裕商务大厦	磁器口路口向东300米路南
国融国际写字楼	亦庄天华北街东口
庚坊国际发展中心	花园路甲13号
京瑞大厦写字楼	东三环南路17号
富瑞苑写字楼	北京市崇文区夕照寺大街14号
鼎观格调商务茶院写字楼	马连道甲6号
国贸世纪公寓写字楼	朝阳区双井桥西侧
北京国际会议中心	北辰东路8号
现代柏联大厦	建国门外大街建华南路17号
阳光100写字楼	朝阳区光华路2号
祥业大厦	朝阳门外大街17号
首创拓展大厦	中关村西区10号地鼎好电子商城路西
宏远航城广场写字楼	顺义南法信首都机场附近空临经济区顺
通厦公元99写字楼	海淀小营桥东，八达岭高速辅路东侧
盛景国际大厦	石景山游乐园西侧
劲松大厦	北京市东三环南路农光里117号
龙德紫金写字楼	立水桥北立汤路186号
西海48文化创意中心	北京市西城区西海南沿48号
华文国际传媒大厦	建国路15号院甲1号
郦城写字楼	四季青桥西北角
名人广场	朝阳区安立路101号
京龙大厦	朝阳北路225号
山水铂宫写字楼	朝外大街3号
恒松园写字楼	南三环中路小铁营路10号
一瓶写字楼	陶然亭路2号
班加罗尔中心写字楼	清河小营西路二炮向东200米
国投大厦	阜外大街7号
银丰商务大厦	成方街中国人民银行总行旁
创新大厦	北京市海淀区中关村东路1号院
嘉都大厦	光华路14号
群英科技园	上地四街
中传北广传媒	朝阳区管庄杨闸8号院
朝阳广场	东二环朝阳门立交桥东北角
东亚·中轴国际	木樨园桥西南角
源创空间大厦	朝阳区高碑店乡西店1119号
德胜写字楼	鼓楼西大街八步口3号
电子城国际电子总部	酒仙桥路甲12号
中仪大厦	西直门外大街6号
亦庄五角大厦	亦庄核心区宏大南路
天籁轩写字楼	双柳北街39号
北京天桥艺术大厦	天桥南大街1号
中关村环保园原动力空间	北清路156号
前门前写字楼	磁器口向西300米路南
惠通时代广场写字楼	四惠桥西北角
太平洋国际大厦	知春路106号
中成大厦写字楼	北京市海淀区海淀路19-1号
隆盛大厦	经济技术开发区59号街区
港中旅大厦	广安门内大街338号
金亚光大厦	金融大街1号
柏彦大厦	北四环中路238号
上地方正大厦	上地五街九号
燕莎盛世大厦	北三环中路23号
仟村商务楼	朝阳区安贞华联附近
大行基业大厦	人大北路33号
国润商务大厦	西四环南路46号
海兴大厦	南街与海淀中路西南侧
北京朝林大厦	亦庄经济技术开发区荣华中路15号
西城新龙大厦	二龙路甲33号
当代商城写字楼	中关村大街40号
青尚办公区	北京市海淀区四拨子车站路西平房1-39
中阳大厦	南二环菜户营桥西北角梆子井甲88号
朔黄发展大厦	北京市海淀区中关村西区海淀北二街
金威大厦	海淀区蓝靛厂南路55号
铜牛大厦	北京市朝阳区金台里甲9号
好润大厦	北京市东城区灯市口大街50号
健德商务楼	北京市海淀区祁家豁子甲2号
美林大厦	工人体育场东路12号
光大大厦	复兴门外大街6号
百事和大厦	建外郎家园十号
国际软件大厦	中关村软件园09号
百万庄独立写字楼	西二环200米百万庄大街8号
银座9号	北四环小营路
蓝筹名座写字楼	工体南路朝阳门华普大厦北侧
金丰和写字楼	新街口外大街8号
金泰翔达写字楼	东铁营横一条31号
威地科技大厦	中关村南大街甲8号
天竺工业区	天竺开发区A区
官园综合楼	官园桥东南平安大街南
首邑上城写字楼	黄村镇兴丰大街与康庄路交汇处
世纪茶贸中心写字楼	马连道10号院
金融街·西单广场写字楼	西单北大街110号，西单北大街与灵境胡
中国建筑文化中心	三里河路13号
安富大厦	方庄桥西南100米处
望园大厦	北京市丰台区西四环南路56号
东方国际大厦	东三环北路东方东路9号
金港国际写字楼	西大望路19号
庆亚大厦	文慧园北路8号
德胜尚城	德胜门西北200米
中裕商务花园	西三环航天桥西
华奥大厦	海淀海淀大街27号
北方明珠大厦写字楼	立汤路188号
泽洋大厦	阜石路166号
国际投资大厦	西二环内阜成门北大街
国悦府写字楼	复兴路51号
万博商厦写字楼	右安门内大街72号 
曙光大厦	三元桥西北侧
东环国际中心	东三环中路18号
金茂府写字楼	广渠路15号大郊亭桥西
德润科技大厦	北京市海淀区西四环北路附近
中轻大厦（西城）	西城区德胜门外大街甲10号
东亚三环	地铁4号线公益西桥出口
东雍创业谷	东城区后永康胡同17号
中乐大厦	小营路15号院1号
北京电信角门办公楼	马家堡路122号
大望写字楼	西大望路12号
融景广场	西五环衙门口桥与莲石东路交汇处西北
IT产业园	酒仙桥北路甲10号 
嘉特美公馆写字楼	南二环开阳路与幸福路交叉路口西北角
华世隆国际公寓写字楼	安贞桥东北角
东方财富写字楼	广渠门内安化北里天利园小区
天博中心	南法信镇顺于路与南焦路交汇处
北京创业大厦	安翔北里甲11号院
尚信大厦	西城区佟麟阁路95号
嘉瑞国际大厦	后沙峪镇双裕大街十字路口东北角
云航大厦	四季青昆明湖9号
紫光大厦	中关村东路1号院10号
金都·心语写字楼	百子湾路石门村路一号
海淀图书城昊海楼	海淀图书城内
中国印刷大厦	马连道路72号
亦庄燕景写字楼	亦庄北京经济技术开发区贵园东里燕景
资源大厦	中关村北大街151号
中意鹏奥大厦	复兴路25号
丰侨大厦	太平桥大街北丰危改小区公建3号楼
鼎新大厦	广渠门内大街7号
金泰地产大厦	丽泽路5号
红都商务中心	安德路甲61号《工人日报》社院内西北
启迪科技园·紫成创业园	农大南路紫成创业园 
西单银座中心	宣武门内大街东侧
新华联丽港写字楼	酒仙桥东路9号
天恒置业大厦	阜外大街31号
909大厦	高家园霞光里9号
天竺空港工业区经济型写字楼	天竺空港工业区B区空港企业孵化园内2
航宇大厦	金融街F区8号
通成达大厦	三元桥畔静安东街与东北三环辅路路口
鹏润国际时尚交易中心	西南四环科丰桥东南角
美克大厦	丽泽桥西南200米
化工大厦	中关村西区1号地块
北京奥运大厦	北四环路北四环中路267号
富成大厦	阜成门外大街
恒泰大厦	东四环朝阳公园桥东，姚家园路豆各庄
中发电子大厦	海淀区知春路132号
中科大厦	海淀路80号
中海实业大厦	知春路56号
欣正大厦	厂洼中路1号
有研大厦	北太平庄桥东南角
育新大厦	海淀大街42号
普天德胜大厦	新街口外大街28号院
亚太大厦	建国门立交桥北侧
京宝花园写字楼	东城安定门外大街183号
双天大厦	北三环西路甲30号
天成科技大厦	德胜门外大街新风街1号
迪阳公寓写字楼	朝阳门外芳草地西街，日坛公园北侧
金桥公寓写字楼	广渠门北里43号
九龙商务中心	中关村南大街
霄云里写字楼	东三环北路往东500米处
世桥国贸公寓写字楼	东三环中路乙16号
豪苑大厦	菜户营东街甲88号
盛宝大厦	团结湖北路6号
陶然大厦	马家堡路1号
广安门商务大厦	广安门货站西街
北京中环假日酒店写字楼	宣武区菜园街1号
弘棉商务大厦	宣武区右安门内大街65号
新世纪大厦	首体南路6号
美景东直门写字楼	东直门内大街西羊管胡同家一号
众鼎大厦	马连洼北路与圆明园西路交汇处西南角
裕惠大厦	阜成路73号
富邦国际大厦	东三环中路16号，国贸桥南500米
瑞海国际中心写字楼	莲花池东路53号
北控科技大厦	中关村科技园区昌平园
北京国永融通大楼	中关村软件园区内
泰利明苑大厦	安外大街外馆斜街1号
中关村创业大厦	上地信息中路32号
洲际大厦	安德路地兴居9号
恒通伟业大厦	安定门外安德里北街
天鸿宝景大厦	安定门外大街189号
北京硅谷电脑城	海淀区西草场1号
中关村方正大厦	中关村北大街
北京华侨大厦	王府井大街2号
安华桥商务中心	北三环中路安华桥西南50米
米阳大厦	建国门外大街永安东里三块板4号
新族大厦	建外日坛路6号
交通信息大厦	朝阳区和平西桥
长富宫办公楼	建国门外大街26号
首都时代广场	西长安街88号(邮
金龙大厦	北京站东街10号
皇冠大厦	西直门北大街
IN北京	京津塘高速bda出口左转
101大厦	朝阳门外大街吉祥里101号
雷捷时代广场商业楼	燕郊开发区102国道电厂桥东行500米 国
鼎城时代广场	阜石路与杨庄东街交叉口西北角
成宏酒店	北四环东路惠新东桥西北侧
潘家园大厦	朝阳区潘家园南里12号
香榭舍写字楼	东三环华威桥东50米路南
中康国际酒店	朝阳区石佛营东路
北方国际大厦	西长安街沿线
珍贝大厦	崇文区珠市口东大街6号
科贸大厦	上地东里4号一区
广安大厦	广安门南街6号
东方艺术大厦	东三环北路亮马河畔
智凯大厦	海淀区北四环中路283号
盈地大厦	朝阳门内大街298号
火神庙底商	黄村卫星城黄村东大街路南
龙山跃写字楼	白浮泉路与凉水河路西南侧
高教商住大楼	北京市昌平区高教园中街
翼之城	首都机场T3航站楼东南，机场东路与四
亦庄硅谷	北京光机电一体化产业基地嘉创路5号
宋庄画家村艺术基地	通州区宋庄镇任庄村北一号
福环国际创新园	北京市昌平区振兴路2号
翔峰大厦	北京市宣武区广安门外红居街13号
雅宝大厦	雅宝路9号雅宝大厦
独栋奥线大厦	朝阳区北辰路
鹏睿大厦	东四环中路18号
尚城写字楼	回龙观北3公里
佰嘉写字楼	京藏高速东回南路9号
西翠长安	复兴路26号
航丰园科技大厦	花乡科学城九号
F1大厦	金融街F区1号地
北京国光高科大厦二期	亦庄经济技术开发区地盛南街1号
东润商厦	海淀南路甲2号
中国企业家大厦	丰台区广安大街427号
领秀大厦	古城大街1号
德胜新风大厦	德胜门外新风大街2号，马甸桥的正南5
华富商贸大楼	朝内大街199号
胜古办公楼	安外胜古北路5号
金港大厦	鼓楼外大街23号
远洋万和城写字楼	北四环东路74号,望和桥西北角
世纪宝鼎公寓写字楼	朝阳区亚运村东2公里
新金山大厦	外交部南街8号
翠宫饭店	双榆树小区知春路76号
大华天坛大厦	人民大学南路
凤展大酒店	安定门外大街乙57号
武夷花园·综合楼	通州区通胡大街3号
中海四期	丰台区成寿寺路136号院
傲成融富中心	朝阳北苑北辰居住区B3区
润枫嘉尚写字楼	朝阳北路与十里堡路交汇处东北角
北京香颂写字楼	朝阳区东四环和京承高速交汇处望京西
泰利科技大厦	北京朝阳区霄云路乙25号
金融信托大厦	北京市朝阳区安定路5号
正汇科技大厦	望京北路18号
东亚上北鑫座写字楼	回龙观西大街北店时代广场西侧
天鹅商务中心	北京市光华路甲18号楼
工运学院综合楼	增光路15号
华亨国际中心写字楼	拱辰南大街十字路口
远洋一方写字楼	八通线双桥站和管庄站之间南侧京通快
证通商务楼	西城区安德路甲104号
兆华商务大厦	朝阳区建国门外大街永安里中街25号
中车大厦	海淀区羊坊店路11号
七一嘉和物业办公楼	海淀区通惠寺3号
凌科商务花园	北京市朝阳区四惠深沟村2-1
苏苑写字楼	海淀区苏州街49号院
龙绍衡大厦	北京市东城区和平里南街5区18号
金达园写字楼	西三旗桥西北角
富安国际大厦	海淀区北三环中路北太平庄
格瑞仕商务中心	金融街太平桥大街107号
嘉信商务楼	安定门大街内柴棒胡同59号
丰裕写字楼	海淀区阜成路115号定慧桥东北角
华玉大厦	海淀区西四环北路路东，亮甲店130号
集贤写字楼	海淀区北太平庄路甲1号
缔金大厦	安苑路16号
复兴路乙59号院办公楼	复兴路乙59号院
大北写字楼	东三环国贸桥东南角
程远商务会馆	海淀区西三旗环岛以东两公里新都环岛
长和大厦	北京市交林夹道5号
虹湾国际中心	朝阳区百子湾路29、31号
海亚大厦	安慧北里秀园15号
北汽大厦	[朝阳 劲松/潘家园] 东三环南路25号
北京国际金融中心	西城区金融街
航天物资大厦	北京市朝阳区和平里东街15号
北京图书大厦	北京市西城区西长安街17号
奥宇创业广场	经济开发区金星路12号
中莎广场	新源里16号
北苑科创大厦	北京市朝阳区北苑大羊坊10号
燕京大厦	三里河东路39号
红旗渠大厦	靛厂路与万丰路口
海萌写字楼	海淀区北洼路，北洼西里19号
西山国际城写字楼	北京市海淀区阜石路甲69号
昆泰嘉诚中心	望京中关村科技园电子城西区摩托罗拉
建材经贸大厦	和平里东土城14号
中元大厦写字楼	车公庄大街甲4号
德胜新城写字楼	德胜门外大街西侧
鸿安国际写字楼	朝内大街188号
璟莲馨苑写字楼	马连道南街16号院
观筑金洋国际写字楼	十八里店南桥
漷县镇商业广场写字楼	通州区东南部漷县镇
五朵金花写字楼	华威桥东北角
广成温泉公寓写字楼	小汤山大柳树环岛西侧100米
首开石榴派写字楼	石榴庄小区东北角
国际E庄写字楼	亦庄经济技术开发区东部新区科创
鼎城·e托邦写字楼	杨庄东路与阜石路交叉口西北角
北京祥龙房地产开发有限公司办公楼	良乡镇太平庄东里232号
精图盛业大厦	西三环南路23号
博安阳光大厦	杏石口路81号
洋桥大厦	马家堡东路88号
海关大厦	海淀区知春路59号
北京西客站邮件处理中心	北京市丰台区西客站
安源大厦	和平西街23号院
再保险大厦	金融街11号
中铁科大厦	西直门外大街大柳树路2号
中和科技园	中和街和永昌北路交叉口，中和街16号
阳光大厦	西直门外大街112号
中威商务花园	东铁营顺三条18号
主语商务中心	首体南路9号北轻汽西厂区改造项目
良乡综合楼	良乡地区拱辰南大街西侧
金泰丽湾大厦	西二环菜户营桥西北角
时代国际商业楼	朝阳区东柏街10号院 
北京西山应物会议中心	永丰产业基地丰豪东路一号
豪恒大厦写字楼	西环路16号
花园科技大厦	丰台区开阳路1号
公园1872写字楼	东四环红领巾公园南侧
东亚上北中心写字楼	回龙观体育公园北侧
佳运广场写字楼	立水桥立军路
新华联国际写字楼	海淀区翠微路5号新华联国际接待中心
孙河西路综合物业楼	京顺路孙河大街孙河西路
龙德行大厦	鼓楼外大街23号
永丰新技术中心	永丰高新技术基地II-10地块
顺鑫国际商务写字楼	站前街
冠庭写字楼	回龙观镇回龙观村京昌高速公路东侧
星街坊购物中心写字楼	新街口北大街3号楼
苏州街31号	苏州街31号
桐城国际	北苑路86号
MOHO国际写字楼	东花市南里东区
景熙国际写字楼	甘家口大厦向西300米
京贸商务中心	梨园云景东路488号院
华尔街大厦	西三环莲花桥西南角
西山赢府国际商务中心	四季青杏石口路99号
艺海大厦	清华东路16号
望海楼宾馆	西三环内玉渊潭北路
祥和新天地写字楼	张湾镇马营
鼎昆大厦	东土城路，东北二环交汇处
格兰维森商务楼	酒仙桥路2号
北京农科大厦	曙光花园中路11号
东玖大厦	夕照寺街东侧绿景馨园13号楼
天信英合商务花园	丰台区田各庄280号
元亨大厦	朝阳门东北角
兴隆人和写字楼	西直门内大街南草场
京新旅产业大厦	东四北大街279号
世华国际中心写字楼	朝阳北路与三里屯南街交汇处东北角
中航技北京工业园写字楼	亦庄经济技术开发区宏达北路16号
凯景铭座写字楼	外馆东街51号
福地广场	菜市口十字路口西南角
北地大厦	亚运村北3公里北苑居住区
荣盛大厦	玉渊潭南路甲1号
安福大厦写字楼	宣武门内大街2号
汉华国际饭店写字楼	安德路地兴居9号
中新荣大厦	亚运村大屯里
上游商务中心	运河文化广场东侧500米
中煤大厦	安定门外大街甲88号
铭诚嘉德写字楼	东城区中轴路
思鸿博物业	西城区车公庄大街６号
国盛大厦	东城区香河园甲3号
平安商务办公楼	地安门西大街
永泰商务中心	百万庄大街南侧
丽华中心	复兴门桥东南角
华中大厦	中关村南路10号
中银利华	黄寺大街21号
河北饭店	安定门内车辇店胡同甲11号
亿万利达大厦	安外安德里北街甲17号
永泰商务大厦	远大西路29号
玺萌中心	北甲地路6号
青云国际研发中心	海淀区北三环西路43号
华腾科技大厦	中关村北大街123号
鑫海大厦	东城区金宝街63号
大华科技商厦	海淀区中关村大街49
大钟寺商务楼	大钟寺东路17号
汇智楼	学院南路68号院3
鑫荣泉大厦	西四环定慧桥西北角
新海大厦	丹凌街10号
燕东大厦	万红西街2号，酒仙桥大山子环岛北
远洋银港大厦	车公庄大街与北礼士路交汇处西北角
车公庄综合楼	车公庄西路甲19号
韩SHOW写字楼	甘露园芳菁苑小区一号园
新锐商务大厦	国贸桥南约500米
中华通信办公楼	南四环西路188号
荣上居写字楼	知春路西五道口2号
鼎恒信商务大厦	厂洼街5号鼎恒信商务大厦
科伦大厦	东三环路光华东路12A号
鼎钧大厦	苏州街75号
建业写字楼	松榆北路7号院11号楼
瑞昌国际商务写字楼	关东店北街核桃园30号
东方宫霄大厦	关东店28号
天和大厦	工体西路甲7号
华商大厦	朝外红庙延静西里2号
日坛晶华写字楼	日坛公园神路街
伯宁花园写字楼	亮马桥路及三环路交界，枣营北里6号
天创维嘉大厦	东四北大街魏家胡同8号
锦湖园公寓写字楼	团结湖公园西，白家庄东里23号
幸福家园写字楼	广渠门内大街
翔龙大厦	龙潭路甲3号
迦南公寓写字楼	右安门外2号
博智大厦	东三环北路28号
友金大厦	西大望路27号
光彩国际公寓写字楼	工体西路18号
万业通写字楼	东三环北路36号朝阳剧场
盛鸿大厦	东三环南路98号
利鸿大厦	朝阳区东四环中路18号
美丽亚洲假日花园写字楼	太平庄兴隆西街8号
北京东方宫宵大厦	关东店28号
东宇物产	建国门外日坛路
富裕隆大厦	大北窑立交桥金十字之中心
佳日大厦	朝阳区双井桥向东
丰苑大厦	石佛营西里12号
日豪华厦商务楼	朝阳区关东店街
鸿运花园写字楼	崇文区天坛东里48号
亿兴大厦	光明路13号
东华饭店	王府井地区灯市口西街32号
华商科技大厦	右安门外大街99号
南方证券大厦	方庄芳群园四区21号楼
宝轩大厦	东花市北里中区15号
苏源锦江大厦	广安门外大街3号
高新大厦	宣武区广安门外南滨河路1号
金翔大厦	鸭子桥24号
北京一商大厦	马连道11号
金宝通汇大厦	建国门内金宝街东段
